index,disease_name,supplement name,supplement image,buy link
23,Potato___healthy,Saosis Fertilizer for potato Fertilizer,https://www.kissanghar.pk/assets/img/product/38341420220313736.jpg,https://www.kissanghar.pk/product-details?name=Ferti-Gold-10kg-Ici-Potassium-Sulphate-50-Sulphur-17.5-Sop-Potash-Fertilizer&c=628
24,Raspberry___healthy,"Karen's Naturals, Organic Just Raspberries",https://www.kissanghar.pk/assets/img/product/49081820240123862.jpg,https://www.kissanghar.pk/product-details?name=Escalade-52EC-500ML-Mixture-Insecticide-Lambda-Cyhalothrin-2EC-+-Profenofos-50EC-Combagro-Kanzo-ag-pharma-evyol-group-HallMark-for-Mealybug%C2%A0on-guava-and-citrus-etc&c=1571
25,Soybean___healthy,Max Crop Liquid Fertilizer,https://www.kissanghar.pk/assets/img/product/00101820211217456.jpg,"https://www.kissanghar.pk/product-details?name=Seaweed-Liquid,-Seaweed-500ml,-Fertilizer-Maxicrop-Soaking-Seeds-And-Bulbs-Cutting-And-Rooting-Plants-Water-Soluble-Seedling-&c=544"
26,Squash___Powdery_mildew,No powdery mildew 1 quart,https://www.kissanghar.pk/assets/img/product/21421320210822244.jpg,https://www.kissanghar.pk/product-details?name=Topsin-m-70-Wp-Thiophanate-Methyl-100gm-Arysta-Life-Science-Upl-Pakistan&c=447/1000
27,Strawberry___Leaf_scorch,Greatindos Premium Quality All in 1 Organic Fungicide,https://www.kissanghar.pk/assets/img/product/45152020240630860.jpg,https://www.kissanghar.pk/product-details?name=Difenoconazole-25EC-250ML-FMC-Best-Fungicide&c=293
28,Strawberry___healthy,SWISS GREEN ORGANIC PLANT GROWTH PROMOTER STRAWBERRY Fertilizer,https://www.kissanghar.pk/assets/img/product/17112020230410684.jpg,"https://www.kissanghar.pk/product-details?name=Enhancer-5litre-Yeast,-Photosynthetic-Bacteria,-Lactic-Acid-Bacteria-And-Fungi-Gpnf-Organic-Fertilizer&c=1135"
29,Tomato___Bacterial_spot,CUREAL Best Fungicide & Bactericide,https://www.kissanghar.pk/assets/img/product/08192120240810596.jpg,https://www.kissanghar.pk/product-details?name=Cuperval-20WP-600GM-Bordeaux-mixture-Copper-best-bactericide-and-fungicide-for-all-plants-and-crops-kanzo-combagro-evyol-group-ahpharma&c=1747
30,Tomato___Early_blight,NATIVO FUNGICIDE,https://www.kissanghar.pk/assets/img/product/59231920201008238.jpg,https://www.kissanghar.pk/product-details?name=Nativo-75%wg-75gm-Tebuconazole-50%-+-Trifloxystrobin-25%-65gm-Bayer&c=160
31,Tomato___Late_blight,ACROBAT FUNGICIDE,https://www.kissanghar.pk/assets/img/product/56491520210408797.jpg,https://www.kissanghar.pk/product-details?name=Acrobat-Mz-90/600wp-Dimethomorph-90g-Mancozeb-600g-1kg&c=340
32,Tomato___Leaf_Mold,Virus Special (Set of Immuno 1 ltr + Enviro 1 ltr),https://www.kissanghar.pk/assets/img/product/56491520210408797.jpg,https://www.kissanghar.pk/product-details?name=Acrobat-Mz-90/600wp-Dimethomorph-90g-Mancozeb-600g-1kg&c=340
33,Tomato___Septoria_leaf_spot,Roko Fungicide,https://www.kissanghar.pk/assets/img/product/45152020240630860.jpg,https://www.kissanghar.pk/product-details?name=Azidox-32.5%-Ec-Azoxystrobin-20%-+-Difenoconazole-12.5%-200ml-Engro-Best-Fungicide&c=293
34,Tomato___Spider_mites Two-spotted_spider_mite,OMITE INSECTICIDE,https://www.kissanghar.pk/assets/img/product/57091820231115704.jpg,"https://www.kissanghar.pk/product-details?name=Omit-25WDG-24GM-Khatmal-K-Liye-Eco-Pest-Solution-Bed-Bugs,-House-Fly,-Mosquito,-Cockroaches,-Ticks,-Flies-And-Other-Insects&c=1431"
35,Tomato___Target_Spot,Propi Propineb 70% WP Fungicide for Plants Diesese Control Pesticide,https://www.kissanghar.pk/assets/img/product/03431920210612951.jpg,https://www.kissanghar.pk/product-details?name=Thiolux-50WP-Copper-Oxychloride-Combagro-Evyol-Group-1kg-Best-Fungicide-and-bactericide&c=395
36,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Syngenta Amistor Top Fungicide,https://www.kissanghar.pk/assets/img/product/28111820231112444.jpg,https://www.kissanghar.pk/product-details?name=Amistar-Top-200Ml-200g/L-Azoxystrobin-125g/L-Difenoconazole-Fungicide-Syngenta-Pakistan&c=1429
37,Tomato___Tomato_mosaic_virus,V Bind Viral Disease Special,https://www.kissanghar.pk/assets/img/product/02462120241118519.jpg,https://www.kissanghar.pk/product-details?name=Triger-70WDG-250GM-Herbicide-granular-Metribuzin-fourbrothers-Tarzan-Potato-Wheat-sugarcane-Trigger-Herbicide&c=1883
38,Tomato___healthy,"Tomato Fertilizer Organic, for Home, Balcony, Terrace & Outdoor Gardening",https://www.kissanghar.pk/assets/img/product/19421420240121586.jpg,https://www.kissanghar.pk/product-details?name=M-Nitrates-25kg-Potassium-Nitrates-Nitro-Potash-Manuchar-Agro-Belgium-Soluble-Fertilizer-Nitropotash-M-solubles&c=1568
